,eo_code,be_code,head_type,be_description,eo_class_code,eo_class_description,eo_category_spec,eo_model_name,operation_start_date,evaluated_operation_finish_date,sap_system_status,sap_user_status,year,qty_by_end_of_year,qty_in
0,100000061761,1100.0,head,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,,Бульдозер Т-11,2013-05-22,2025-05-22 00:00:00,УСТН,,2022.0,1.0,
1,100000045093,1100.0,component,"АО ""Полюс Красноярск""",,,,,2013-05-22,2025-05-22 00:00:00,ПВЕО,,2022.0,1.0,
2,100000045094,1100.0,component,"АО ""Полюс Красноярск""",,,,,2013-05-22,2025-05-22 00:00:00,ПВЕО,,2022.0,1.0,
3,100000045095,1100.0,component,"АО ""Полюс Красноярск""",,,,,2013-05-22,2025-05-22 00:00:00,ПВЕО,,2022.0,1.0,
4,100000061759,,,,,,,,,,,,,,
5,100000061760,1100.0,head,"АО ""Полюс Красноярск""",E02_02,Станки буровые вращ. бур. коронками,,Установка буровая УРБ-2А2,2013-04-23,2025-04-23 00:00:00,УСТН,,2022.0,1.0,
6,100000061756,,,,,,,,,,,,,,
7,100000061757,,,,,,,,,,,,,,
8,100000028865,,,,,,,,,,,,,,
9,100000052088,,,,,,,,,,,,,,
10,100000043988,,,,,,,,,,,,,,
11,100000043989,,,,,,,,,,,,,,
12,100000043991,,,,,,,,,,,,,,
13,100000058882,1100.0,head,"АО ""Полюс Красноярск""",E17_11,Погрузчики фронтальные,,Машина многоцел МКСМ,2015-12-01,2027-12-01 00:00:00,УСТН,,2022.0,1.0,
14,100000043992,1100.0,component,"АО ""Полюс Красноярск""",,,,,2015-12-01,2027-12-01 00:00:00,ПВЕО,,2022.0,1.0,
15,100000043993,1100.0,component,"АО ""Полюс Красноярск""",,,,,2015-12-01,2027-12-01 00:00:00,ПВЕО,,2022.0,1.0,
16,100000043994,1100.0,component,"АО ""Полюс Красноярск""",,,,,2015-12-01,2027-12-01 00:00:00,ПВЕО,,2022.0,1.0,
17,100000061893,1100.0,head,"АО ""Полюс Красноярск""",E02_02,Станки буровые вращ. бур. коронками,,Установка буровая БКМ-534,2012-09-10,2024-09-10 00:00:00,УСТН,,2022.0,1.0,
18,100000061735,1100.0,head,"АО ""Полюс Красноярск""",E03_02,Экскаваторы электрические,Канатные экскаваторы с объемом ковша 5-35 м3,Экскаваторы ЭКГ-10,2007-12-31,2026-07-01 00:00:00,УСТН,СИНХ,2022.0,1.0,
19,100000043598,,,,,,,,,,,,,,
20,100000043261,,,,,,,,,,,,,,
21,100000043290,,,,,,,,,,,,,,
22,100000043317,,,,,,,,,,,,,,
23,100000043346,,,,,,,,,,,,,,
24,100000043373,,,,,,,,,,,,,,
25,100000043574,,,,,,,,,,,,,,
26,100000043621,,,,,,,,,,,,,,
27,100000043645,,,,,,,,,,,,,,
28,100000043696,,,,,,,,,,,,,,
29,100000043725,,,,,,,,,,,,,,
30,100000043401,,,,,,,,,,,,,,
31,100000043427,,,,,,,,,,,,,,
32,100000043449,,,,,,,,,,,,,,
33,100000043473,,,,,,,,,,,,,,
34,100000043495,,,,,,,,,,,,,,
35,100000043517,,,,,,,,,,,,,,
36,100000043546,,,,,,,,,,,,,,
37,100000043668,,,,,,,,,,,,,,
38,100000098871,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-07-14,2029-07-14 00:00:00,ПВЕО,,2022.0,1.0,
39,100000063333,1100.0,head,"АО ""Полюс Красноярск""",E03_02,Экскаваторы электрические,Канатные экскаваторы с объемом ковша 5-35 м3,Экскаваторы ЭКГ-10,2012-01-31,2028-07-01 00:00:00,УСТН,СИНХ,2022.0,1.0,
40,100000043285,1100.0,component,"АО ""Полюс Красноярск""",,,,,2012-01-31,2024-01-31 00:00:00,ПВЕО,,2022.0,1.0,
41,100000043313,1100.0,component,"АО ""Полюс Красноярск""",,,,,2012-01-31,2024-01-31 00:00:00,ПВЕО,,2022.0,1.0,
42,100000043341,1100.0,component,"АО ""Полюс Красноярск""",,,,,2012-01-31,2024-01-31 00:00:00,ПВЕО,,2022.0,1.0,
43,100000043369,1100.0,component,"АО ""Полюс Красноярск""",,,,,2012-01-31,2024-01-31 00:00:00,ПВЕО,,2022.0,1.0,
44,100000043397,1100.0,component,"АО ""Полюс Красноярск""",,,,,2012-01-31,2024-01-31 00:00:00,ПВЕО,,2022.0,1.0,
45,100000043593,1100.0,component,"АО ""Полюс Красноярск""",,,,,2012-01-31,2024-01-31 00:00:00,ПВЕО,КМПН,2022.0,1.0,
46,100000043617,1100.0,component,"АО ""Полюс Красноярск""",,,,,2012-01-31,2024-01-31 00:00:00,ПВЕО,КМПН,2022.0,1.0,
47,100000043641,1100.0,component,"АО ""Полюс Красноярск""",,,,,2012-01-31,2024-01-31 00:00:00,ПВЕО,КМПН,2022.0,1.0,
48,100000043663,1100.0,component,"АО ""Полюс Красноярск""",,,,,2012-01-31,2024-01-31 00:00:00,ПВЕО,КМПН,2022.0,1.0,
49,100000043422,,,,,,,,,,,,,,
50,100000043446,,,,,,,,,,,,,,
51,100000043469,,,,,,,,,,,,,,
52,100000043492,,,,,,,,,,,,,,
53,100000043514,,,,,,,,,,,,,,
54,100000043541,,,,,,,,,,,,,,
55,100000043570,,,,,,,,,,,,,,
56,100000098863,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-07-14,2029-07-14 00:00:00,ПВЕО,,2022.0,1.0,
57,100000063336,1100.0,head,"АО ""Полюс Красноярск""",E03_02,Экскаваторы электрические,Канатные экскаваторы с объемом ковша 5-35 м3,Экскаваторы ЭКГ-10,2017-02-28,2033-07-01 00:00:00,УСТН,СИНХ,2022.0,1.0,
58,100000043596,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-02-28,2029-02-28 00:00:00,ПВЕО,КМПН,2022.0,1.0,
59,100000043287,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-02-28,2029-02-28 00:00:00,ПВЕО,,2022.0,1.0,
60,100000043315,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-02-28,2029-02-28 00:00:00,ПВЕО,,2022.0,1.0,
61,100000043344,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-02-28,2029-02-28 00:00:00,ПВЕО,,2022.0,1.0,
62,100000043371,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-02-28,2029-02-28 00:00:00,ПВЕО,,2022.0,1.0,
63,100000043399,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-02-28,2029-02-28 00:00:00,ПВЕО,,2022.0,1.0,
64,100000043619,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-02-28,2029-02-28 00:00:00,ПВЕО,КМПН,2022.0,1.0,
65,100000043643,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-02-28,2029-02-28 00:00:00,ПВЕО,КМПН,2022.0,1.0,
66,100000043665,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-02-28,2029-02-28 00:00:00,ПВЕО,КМПН,2022.0,1.0,
67,100000043424,,,,,,,,,,,,,,
68,100000043448,,,,,,,,,,,,,,
69,100000043472,,,,,,,,,,,,,,
70,100000043494,,,,,,,,,,,,,,
71,100000043516,,,,,,,,,,,,,,
72,100000043543,,,,,,,,,,,,,,
73,100000043572,,,,,,,,,,,,,,
74,100000062743,1100.0,head,"АО ""Полюс Красноярск""",E03_02,Экскаваторы электрические,Канатные экскаваторы с объемом ковша 5-35 м3,Экскаваторы ЭКГ-10,1996-09-01,2023-01-01 00:00:00,УСТН,СИНХ,2022.0,1.0,
75,100000043583,,,,,,,,,,,,,,
76,100000043275,,,,,,,,,,,,,,
77,100000043303,,,,,,,,,,,,,,
78,100000043331,,,,,,,,,,,,,,
79,100000043360,,,,,,,,,,,,,,
80,100000043387,,,,,,,,,,,,,,
81,100000043607,,,,,,,,,,,,,,
82,100000043631,,,,,,,,,,,,,,
83,100000043654,,,,,,,,,,,,,,
84,100000043710,,,,,,,,,,,,,,
85,100000043739,,,,,,,,,,,,,,
86,100000036869,1100.0,component,"АО ""Полюс Красноярск""",,,,,2019-05-10,2031-05-10 00:00:00,ПВЕО,,2022.0,1.0,
87,100000043412,,,,,,,,,,,,,,
88,100000043437,,,,,,,,,,,,,,
89,100000043459,,,,,,,,,,,,,,
90,100000043482,,,,,,,,,,,,,,
91,100000043505,,,,,,,,,,,,,,
92,100000043531,,,,,,,,,,,,,,
93,100000043560,,,,,,,,,,,,,,
94,100000043682,,,,,,,,,,,,,,
95,100000062738,1100.0,head,"АО ""Полюс Красноярск""",E03_02,Экскаваторы электрические,Канатные экскаваторы с объемом ковша 5-35 м3,Экскаваторы ЭКГ-10,2012-12-31,2029-07-01 00:00:00,УСТН,СИНХ,2022.0,1.0,
96,100000043582,1100.0,component,"АО ""Полюс Красноярск""",,,,,2012-12-31,2024-12-31 00:00:00,ПВЕО,КМПН,2022.0,1.0,
97,100000043629,1100.0,component,"АО ""Полюс Красноярск""",,,,,2012-12-31,2024-12-31 00:00:00,ПВЕО,КМПН,2022.0,1.0,
98,100000043272,1100.0,component,"АО ""Полюс Красноярск""",,,,,2012-12-31,2024-12-31 00:00:00,ПВЕО,,2022.0,1.0,
99,100000043300,1100.0,component,"АО ""Полюс Красноярск""",,,,,2012-12-31,2024-12-31 00:00:00,ПВЕО,,2022.0,1.0,
100,100000043328,1100.0,component,"АО ""Полюс Красноярск""",,,,,2012-12-31,2024-12-31 00:00:00,ПВЕО,,2022.0,1.0,
101,100000043357,1100.0,component,"АО ""Полюс Красноярск""",,,,,2012-12-31,2024-12-31 00:00:00,ПВЕО,,2022.0,1.0,
102,100000043383,1100.0,component,"АО ""Полюс Красноярск""",,,,,2012-12-31,2024-12-31 00:00:00,ПВЕО,,2022.0,1.0,
103,100000043606,1100.0,component,"АО ""Полюс Красноярск""",,,,,2012-12-31,2024-12-31 00:00:00,ПВЕО,КМПН,2022.0,1.0,
104,100000043653,1100.0,component,"АО ""Полюс Красноярск""",,,,,2012-12-31,2024-12-31 00:00:00,ПВЕО,КМПН,2022.0,1.0,
105,100000043410,,,,,,,,,,,,,,
106,100000043435,,,,,,,,,,,,,,
107,100000043457,,,,,,,,,,,,,,
108,100000043481,,,,,,,,,,,,,,
109,100000043503,,,,,,,,,,,,,,
110,100000043528,,,,,,,,,,,,,,
111,100000043557,,,,,,,,,,,,,,
112,100000096362,1100.0,component,"АО ""Полюс Красноярск""",,,,,2021-12-12,2033-12-12 00:00:00,ПВЕО,КМПН,2022.0,1.0,
113,100000098879,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-07-14,2029-07-14 00:00:00,ПВЕО,,2022.0,1.0,
114,100000063335,1100.0,head,"АО ""Полюс Красноярск""",E03_02,Экскаваторы электрические,Канатные экскаваторы с объемом ковша 18-35 м3,Экскаваторы ЭКГ-18,2016-08-01,2033-07-01 00:00:00,УСТН,СИНХ,2022.0,1.0,
115,100000043594,1100.0,component,"АО ""Полюс Красноярск""",,,,,2016-08-01,2028-08-01 00:00:00,ПВЕО,КМПН,2022.0,1.0,
116,100000043286,1100.0,component,"АО ""Полюс Красноярск""",,,,,2016-08-01,2028-08-01 00:00:00,ПВЕО,,2022.0,1.0,
117,100000043314,1100.0,component,"АО ""Полюс Красноярск""",,,,,2016-08-01,2028-08-01 00:00:00,ПВЕО,,2022.0,1.0,
118,100000043342,1100.0,component,"АО ""Полюс Красноярск""",,,,,2016-08-01,2028-08-01 00:00:00,ПВЕО,,2022.0,1.0,
119,100000043370,1100.0,component,"АО ""Полюс Красноярск""",,,,,2016-08-01,2028-08-01 00:00:00,ПВЕО,,2022.0,1.0,
120,100000043398,1100.0,component,"АО ""Полюс Красноярск""",,,,,2016-08-01,2028-08-01 00:00:00,ПВЕО,,2022.0,1.0,
121,100000043618,1100.0,component,"АО ""Полюс Красноярск""",,,,,2016-08-01,2028-08-01 00:00:00,ПВЕО,КМПН,2022.0,1.0,
122,100000043642,1100.0,component,"АО ""Полюс Красноярск""",,,,,2016-08-01,2028-08-01 00:00:00,ПВЕО,КМПН,2022.0,1.0,
