,be_code,be_description,eo_class_code,eo_class_description,eo_model_name,teh_mesto,gar_no,eo_code,head_type,operation_start_date,expected_operation_period_years,expected_operation_finish_date,sap_planned_finish_operation_date,expected_operation_status_code,expected_operation_status_code_date,sap_system_status,sap_user_status,reported_operation_finish_date,reported_operation_status,evaluated_operation_finish_date,id
1412,1100.0,"АО ""Полюс Красноярск""",E03_02,Экскаваторы электрические,Экскаваторы ЭКГ-10,11-RUD-BLAG-UGBL-E105,02,100000062743,head,1996-09-01,12,2008-09-01 00:00:00.000000,2023-01-01,operation,2027-12-31 00:00:00,УСТН,СИНХ,2199-01-01,,2023-01-01,34
1478,1100.0,"АО ""Полюс Красноярск""",E03_01,Экскаваторы гидравлические,Экскаваторы PC3000-6,11-RUD-BLAG-UGBL-P601,502,100000067189,head,2009-11-30,12,2021-11-30 00:00:00.000000,2023-01-01,operation,2027-12-31 00:00:00,УСТН,СИНХ,2199-01-01,,2023-01-01,62
1484,1100.0,"АО ""Полюс Красноярск""",E03_01,Экскаваторы гидравлические,Экскаваторы PC3000-6,11-RUD-BLAG-UGBL-P602,504,100000063332,head,2011-06-25,12,2023-06-25 00:00:00.000000,2023-01-01,operation,2027-12-31 00:00:00,УСТН,СИНХ,2199-01-01,,2023-01-01,65
1487,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-P602,504,100000039760,component,2011-06-25,12,2023-06-25 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-06-25,68
1488,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-P602,504,100000039801,component,2011-06-25,12,2023-06-25 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-06-25,69
1608,1100.0,"АО ""Полюс Красноярск""",E02_01,Станки буровые вращ. бур. шарошками,Станки буровые PV-235,11-RUD-CBVZ-P201,55,100000061889,head,2012-04-04,12,2024-04-04 00:00:00.000000,2023-01-31,operation,2027-12-31 00:00:00,УСТН,СИНХ,2023-01-31,,2023-01-31,151
1613,1100.0,"АО ""Полюс Красноярск""",E02_01,Станки буровые вращ. бур. шарошками,Станки буровые PV-235,11-RUD-CBVZ-P202,56,100000061895,head,2012-09-30,12,2024-09-30 00:00:00.000000,2023-01-31,operation,2027-12-31 00:00:00,УСТН,СИНХ,2023-01-31,,2023-01-31,156
1618,1100.0,"АО ""Полюс Красноярск""",E02_01,Станки буровые вращ. бур. шарошками,Станки буровые PV-235,11-RUD-CBVZ-P203,57,100000061896,head,2012-10-16,12,2024-10-16 00:00:00.000000,2023-02-28,operation,2027-12-31 00:00:00,УСТН,СИНХ,2199-01-01,,2023-02-28,160
1702,1100.0,"АО ""Полюс Красноярск""",E02_01,Станки буровые вращ. бур. шарошками,Станки буровые СБШ-250,11-RUD-CBVZ-SB08,26,100000061891,head,2012-04-30,12,2024-04-30 00:00:00.000000,2023-01-31,operation,2027-12-31 00:00:00,УСТН,СИНХ,2023-01-31,,2023-01-31,220
1703,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CBVZ-SB08,ЭНЕРГОСЛУЖБА К.ВОСТОЧНЫЙ,100000075005,component,2011-04-09,12,2023-04-09 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-04-09,221
1708,1100.0,"АО ""Полюс Красноярск""",E02_01,Станки буровые вращ. бур. шарошками,Станки буровые СБШ-250,11-RUD-CBVZ-SB09,27,100000061892,head,2012-05-31,12,2024-05-31 00:00:00.000000,2023-01-31,operation,2027-12-31 00:00:00,УСТН,СИНХ,2023-01-31,,2023-01-31,226
1832,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SEBT-CC04,785C KP 15-2,100000038766,component,2011-05-26,12,2023-05-26 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-05-26,307
1834,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SEBT-CC04,785C BR 09-1,100000039212,component,2011-08-22,12,2023-08-22 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-08-22,308
2024,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SEBT-CC30,785C GT 28-3,100000056063,component,2011-01-01,12,2023-01-01 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-01-01,492
2030,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SEBT-CC30,431,100000058470,component,2011-02-28,12,2023-02-28 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-02-28,496
2057,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SEBT-CC33,785С PG 04-1,100000038602,component,2011-07-31,12,2023-07-31 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-07-31,520
2134,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SEBT-CC41,785C BR 38-3,100000069363,component,2011-03-31,12,2023-03-31 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-03-31,573
2140,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SEBT-CC42,785C KP 52-2,100000038827,component,2011-05-26,12,2023-05-26 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-05-26,580
2143,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SEBT-CC42,785C GT 37-3,100000055979,component,2011-04-30,12,2023-04-30 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,plug,2199-01-01,,2023-04-30,582
2170,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SEBT-CC45,785C BR 53-3,100000039451,component,2011-02-18,12,2023-02-18 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-02-18,605
2180,1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-CGTR-SEBT-CC46,785C BR 62-2,100000039452,component,2011-03-31,12,2023-03-31 00:00:00.000000,2199-01-01,operation,2027-12-31 00:00:00,ПВЕО,КМПН,2199-01-01,,2023-03-31,615
