be_code,be_description,eo_class_code,eo_class_description,eo_model_name,teh_mesto,gar_no,eo_code,head_type,operation_start_date,expected_operation_period_years,expected_operation_finish_date,sap_planned_finish_operation_date,expected_operation_status_code,expected_operation_status_code_date,sap_system_status,sap_user_status,reported_operation_finish_date,reported_operation_status,qty at 31.12.2022,in 2022,out 2022,qty at 31.12.2023,in 2023,out 2023
1100.0,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,Бульдозер Т-11,11-GRS-UBUR-BZ01,1165KY24,100000061761,head,2013-05-22,12.0,2025-05-22 00:00:00,,operation,2022-06-17 11:42:39.231262,УСТН,,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-GRS-UBUR-BZ01,КУ116524,100000045093,component,2013-05-22,12.0,2025-05-22 00:00:00,,operation,2022-06-17 11:42:39.218697,ПВЕО,,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-GRS-UBUR-BZ01,КУ116524,100000045094,component,2013-05-22,12.0,2025-05-22 00:00:00,,operation,2022-06-17 11:42:39.223102,ПВЕО,,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-GRS-UBUR-BZ01,КУ116524,100000045095,component,2013-05-22,12.0,2025-05-22 00:00:00,,operation,2022-06-17 11:42:39.227091,ПВЕО,,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",E02_05,Станки буровые ударно-канатного бурения,Установка буровая CS14,11-GRS-UBUR-DR01,32,100000061759,head,2007-11-26,12.0,2019-11-26 00:00:00,,operation_finished,2022-06-17 11:42:37.813364,УСТН,,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",E02_02,Станки буровые вращ. бур. коронками,Установка буровая УРБ-2А2,11-GRS-UBUR-DR02,08,100000061760,head,2013-04-23,12.0,2025-04-23 00:00:00,,operation,2022-06-17 11:42:39.171669,УСТН,,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",E02_02,Станки буровые вращ. бур. коронками,Установка буровая CS1000,11-GRS-UBUR-DR04,8643ХА24,100000061756,head,2006-09-18,12.0,2018-09-18 00:00:00,,operation_finished,2022-06-17 11:42:37.604961,УСТН,,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",E02_02,Станки буровые вращ. бур. коронками,Установка буровая PS1000,11-GRS-UBUR-DR05,8660ХА24,100000061757,head,2006-12-29,12.0,2018-12-29 00:00:00,,operation_finished,2022-06-17 11:42:37.669893,УСТН,,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",E02_05,Станки буровые ударно-канатного бурения,Установка буровая CS10,11-GRS-UBUR-DR06,8663ХА24,100000028865,head,2006-11-21,12.0,2018-11-21 00:00:00,,operation_finished,2022-06-17 11:42:37.694237,УСТН,,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",E17_11,Погрузчики фронтальные,Машина многоцел МКСМ,11-MGO-CRGT-RGBB-LF13,РГБ БЛАГОДАТНОЕ,100000052088,head,2007-06-22,12.0,2019-06-22 00:00:00,,operation_finished,2022-06-17 11:42:37.712747,УСТН,,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-MGO-CRGT-RGBB-LF13,РГБ БЛАГОДАТНОЕ,100000043988,component,2007-06-22,12.0,2019-06-22 00:00:00,,operation_finished,2022-06-17 11:42:37.699263,ПВЕО,,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-MGO-CRGT-RGBB-LF13,РГБ БЛАГОДАТНОЕ,100000043989,component,2007-06-22,12.0,2019-06-22 00:00:00,,operation_finished,2022-06-17 11:42:37.703691,ПВЕО,,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-MGO-CRGT-RGBB-LF13,РГБ БЛАГОДАТНОЕ,100000043991,component,2007-06-22,12.0,2019-06-22 00:00:00,,operation_finished,2022-06-17 11:42:37.708211,ПВЕО,,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",E17_11,Погрузчики фронтальные,Машина многоцел МКСМ,11-MGO-CRGT-RGBV-LF05,7113ХЕ24,100000058882,head,2015-12-01,12.0,2027-12-01 00:00:00,,operation,2022-06-17 11:42:39.781184,УСТН,,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-MGO-CRGT-RGBV-LF05,7113ХЕ24,100000043992,component,2015-12-01,12.0,2027-12-01 00:00:00,,operation,2022-06-17 11:42:39.769866,ПВЕО,,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-MGO-CRGT-RGBV-LF05,7113ХЕ24,100000043993,component,2015-12-01,12.0,2027-12-01 00:00:00,,operation,2022-06-17 11:42:39.773650,ПВЕО,,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-MGO-CRGT-RGBV-LF05,7113ХЕ24,100000043994,component,2015-12-01,12.0,2027-12-01 00:00:00,,operation,2022-06-17 11:42:39.777413,ПВЕО,,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",E02_02,Станки буровые вращ. бур. коронками,Установка буровая БКМ-534,11-RUD-BLAG-ENSL-DR01,06,100000061893,head,2012-09-10,12.0,2024-09-10 00:00:00,,operation,2022-06-17 11:42:40.048993,УСТН,,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",E03_02,Экскаваторы электрические,Экскаваторы ЭКГ-10,11-RUD-BLAG-UGBL-E101,22,100000061735,head,2007-12-31,12.0,2019-12-31 00:00:00,2026-07-01,operation,2022-06-17 11:42:37.809624,УСТН,СИНХ,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E101,22,100000043598,component,2007-12-31,12.0,2019-12-31 00:00:00,,operation_finished,2022-06-17 11:42:37.789005,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E101,22,100000043261,component,2007-12-31,12.0,2019-12-31 00:00:00,,operation_finished,2022-06-17 11:42:37.764522,ПВЕО,,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E101,22,100000043290,component,2007-12-31,12.0,2019-12-31 00:00:00,,operation_finished,2022-06-17 11:42:37.768755,ПВЕО,,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E101,22,100000043317,component,2007-12-31,12.0,2019-12-31 00:00:00,,operation_finished,2022-06-17 11:42:37.772738,ПВЕО,,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E101,22,100000043346,component,2007-12-31,12.0,2019-12-31 00:00:00,,operation_finished,2022-06-17 11:42:37.777346,ПВЕО,,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E101,22,100000043373,component,2007-12-31,12.0,2019-12-31 00:00:00,,operation_finished,2022-06-17 11:42:37.781351,ПВЕО,,,,0,0,0,0,0,0
