,eo_code,be_code,head_type,be_description,eo_class_code,eo_class_description,eo_category_spec,eo_model_name,operation_start_date,evaluated_operation_finish_date,sap_system_status,sap_user_status
1330,100000061761,1100.0,head,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,,Бульдозер Т-11,2013-05-22,2025-05-22 00:00:00,УСТН,
1331,100000045093,1100.0,component,"АО ""Полюс Красноярск""",,,,,2013-05-22,2025-05-22 00:00:00,ПВЕО,
1332,100000045094,1100.0,component,"АО ""Полюс Красноярск""",,,,,2013-05-22,2025-05-22 00:00:00,ПВЕО,
1333,100000045095,1100.0,component,"АО ""Полюс Красноярск""",,,,,2013-05-22,2025-05-22 00:00:00,ПВЕО,
1334,100000061759,1100.0,head,"АО ""Полюс Красноярск""",E02_05,Станки буровые ударно-канатного бурения,,Установка буровая CS14,2007-11-26,2019-11-26 00:00:00,УСТН,
1335,100000061760,1100.0,head,"АО ""Полюс Красноярск""",E02_02,Станки буровые вращ. бур. коронками,,Установка буровая УРБ-2А2,2013-04-23,2025-04-23 00:00:00,УСТН,
1336,100000061756,1100.0,head,"АО ""Полюс Красноярск""",E02_02,Станки буровые вращ. бур. коронками,,Установка буровая CS1000,2006-09-18,2018-09-18 00:00:00,УСТН,
1337,100000061757,1100.0,head,"АО ""Полюс Красноярск""",E02_02,Станки буровые вращ. бур. коронками,,Установка буровая PS1000,2006-12-29,2018-12-29 00:00:00,УСТН,
1338,100000028865,1100.0,head,"АО ""Полюс Красноярск""",E02_05,Станки буровые ударно-канатного бурения,,Установка буровая CS10,2006-11-21,2018-11-21 00:00:00,УСТН,
1339,100000052088,1100.0,head,"АО ""Полюс Красноярск""",E17_11,Погрузчики фронтальные,,Машина многоцел МКСМ,2007-06-22,2019-06-22 00:00:00,УСТН,
1340,100000043988,1100.0,component,"АО ""Полюс Красноярск""",,,,,2007-06-22,2019-06-22 00:00:00,ПВЕО,
1341,100000043989,1100.0,component,"АО ""Полюс Красноярск""",,,,,2007-06-22,2019-06-22 00:00:00,ПВЕО,
1342,100000043991,1100.0,component,"АО ""Полюс Красноярск""",,,,,2007-06-22,2019-06-22 00:00:00,ПВЕО,
1343,100000058882,1100.0,head,"АО ""Полюс Красноярск""",E17_11,Погрузчики фронтальные,,Машина многоцел МКСМ,2015-12-01,2027-12-01 00:00:00,УСТН,
1344,100000043992,1100.0,component,"АО ""Полюс Красноярск""",,,,,2015-12-01,2027-12-01 00:00:00,ПВЕО,
1345,100000043993,1100.0,component,"АО ""Полюс Красноярск""",,,,,2015-12-01,2027-12-01 00:00:00,ПВЕО,
1346,100000043994,1100.0,component,"АО ""Полюс Красноярск""",,,,,2015-12-01,2027-12-01 00:00:00,ПВЕО,
1347,100000061893,1100.0,head,"АО ""Полюс Красноярск""",E02_02,Станки буровые вращ. бур. коронками,,Установка буровая БКМ-534,2012-09-10,2024-09-10 00:00:00,УСТН,
1348,100000061735,1100.0,head,"АО ""Полюс Красноярск""",E03_02,Экскаваторы электрические,Канатные экскаваторы с объемом ковша 5-35 м3,Экскаваторы ЭКГ-10,2007-12-31,2026-07-01 00:00:00,УСТН,СИНХ
1349,100000043598,1100.0,component,"АО ""Полюс Красноярск""",,,,,2007-12-31,2019-12-31 00:00:00,ПВЕО,КМПН
1350,100000043261,1100.0,component,"АО ""Полюс Красноярск""",,,,,2007-12-31,2019-12-31 00:00:00,ПВЕО,
1351,100000043290,1100.0,component,"АО ""Полюс Красноярск""",,,,,2007-12-31,2019-12-31 00:00:00,ПВЕО,
1352,100000043317,1100.0,component,"АО ""Полюс Красноярск""",,,,,2007-12-31,2019-12-31 00:00:00,ПВЕО,
1353,100000043346,1100.0,component,"АО ""Полюс Красноярск""",,,,,2007-12-31,2019-12-31 00:00:00,ПВЕО,
1354,100000043373,1100.0,component,"АО ""Полюс Красноярск""",,,,,2007-12-31,2019-12-31 00:00:00,ПВЕО,
1355,100000043574,1100.0,component,"АО ""Полюс Красноярск""",,,,,2007-12-31,2019-12-31 00:00:00,ПВЕО,КМПН
1356,100000043621,1100.0,component,"АО ""Полюс Красноярск""",,,,,2007-12-31,2019-12-31 00:00:00,ПВЕО,КМПН
1357,100000043645,1100.0,component,"АО ""Полюс Красноярск""",,,,,2007-12-31,2019-12-31 00:00:00,ПВЕО,КМПН
1358,100000043696,1100.0,component,"АО ""Полюс Красноярск""",,,,,2007-12-31,2019-12-31 00:00:00,ПВЕО,
1359,100000043725,1100.0,component,"АО ""Полюс Красноярск""",,,,,2007-12-31,2019-12-31 00:00:00,ПВЕО,
1360,100000043401,1100.0,component,"АО ""Полюс Красноярск""",,,,,2007-12-31,2019-12-31 00:00:00,ПВЕО,КМПН
1361,100000043427,1100.0,component,"АО ""Полюс Красноярск""",,,,,2008-02-19,2020-02-19 00:00:00,ПВЕО,КМПН
1362,100000043449,1100.0,component,"АО ""Полюс Красноярск""",,,,,2007-12-31,2019-12-31 00:00:00,ПВЕО,КМПН
1363,100000043473,1100.0,component,"АО ""Полюс Красноярск""",,,,,2007-12-31,2019-12-31 00:00:00,ПВЕО,КМПН
1364,100000043495,1100.0,component,"АО ""Полюс Красноярск""",,,,,2007-12-31,2019-12-31 00:00:00,ПВЕО,КМПН
1365,100000043517,1100.0,component,"АО ""Полюс Красноярск""",,,,,2008-02-19,2020-02-19 00:00:00,ПВЕО,КМПН
1366,100000043546,1100.0,component,"АО ""Полюс Красноярск""",,,,,2007-12-31,2019-12-31 00:00:00,ПВЕО,КМПН
1367,100000043668,1100.0,component,"АО ""Полюс Красноярск""",,,,,2008-02-19,2020-02-19 00:00:00,ПВЕО,КМПН
1368,100000098871,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-07-14,2029-07-14 00:00:00,ПВЕО,
1369,100000063333,1100.0,head,"АО ""Полюс Красноярск""",E03_02,Экскаваторы электрические,Канатные экскаваторы с объемом ковша 5-35 м3,Экскаваторы ЭКГ-10,2012-01-31,2028-07-01 00:00:00,УСТН,СИНХ
1370,100000043285,1100.0,component,"АО ""Полюс Красноярск""",,,,,2012-01-31,2024-01-31 00:00:00,ПВЕО,
1371,100000043313,1100.0,component,"АО ""Полюс Красноярск""",,,,,2012-01-31,2024-01-31 00:00:00,ПВЕО,
1372,100000043341,1100.0,component,"АО ""Полюс Красноярск""",,,,,2012-01-31,2024-01-31 00:00:00,ПВЕО,
1373,100000043369,1100.0,component,"АО ""Полюс Красноярск""",,,,,2012-01-31,2024-01-31 00:00:00,ПВЕО,
1374,100000043397,1100.0,component,"АО ""Полюс Красноярск""",,,,,2012-01-31,2024-01-31 00:00:00,ПВЕО,
1375,100000043593,1100.0,component,"АО ""Полюс Красноярск""",,,,,2012-01-31,2024-01-31 00:00:00,ПВЕО,КМПН
1376,100000043617,1100.0,component,"АО ""Полюс Красноярск""",,,,,2012-01-31,2024-01-31 00:00:00,ПВЕО,КМПН
1377,100000043641,1100.0,component,"АО ""Полюс Красноярск""",,,,,2012-01-31,2024-01-31 00:00:00,ПВЕО,КМПН
1378,100000043663,1100.0,component,"АО ""Полюс Красноярск""",,,,,2012-01-31,2024-01-31 00:00:00,ПВЕО,КМПН
1381,100000043422,1100.0,component,"АО ""Полюс Красноярск""",,,,,2009-11-30,2021-11-30 00:00:00,ПВЕО,КМПН
1382,100000043446,1100.0,component,"АО ""Полюс Красноярск""",,,,,2009-11-30,2021-11-30 00:00:00,ПВЕО,КМПН
1383,100000043469,1100.0,component,"АО ""Полюс Красноярск""",,,,,2009-11-30,2021-11-30 00:00:00,ПВЕО,КМПН
1384,100000043492,1100.0,component,"АО ""Полюс Красноярск""",,,,,2009-11-30,2021-11-30 00:00:00,ПВЕО,КМПН
1385,100000043514,1100.0,component,"АО ""Полюс Красноярск""",,,,,2009-11-30,2021-11-30 00:00:00,ПВЕО,КМПН
1386,100000043541,1100.0,component,"АО ""Полюс Красноярск""",,,,,2009-11-30,2021-11-30 00:00:00,ПВЕО,КМПН
1387,100000043570,1100.0,component,"АО ""Полюс Красноярск""",,,,,2009-11-30,2021-11-30 00:00:00,ПВЕО,КМПН
1389,100000098863,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-07-14,2029-07-14 00:00:00,ПВЕО,
1390,100000063336,1100.0,head,"АО ""Полюс Красноярск""",E03_02,Экскаваторы электрические,Канатные экскаваторы с объемом ковша 5-35 м3,Экскаваторы ЭКГ-10,2017-02-28,2033-07-01 00:00:00,УСТН,СИНХ
1391,100000043596,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-02-28,2029-02-28 00:00:00,ПВЕО,КМПН
1392,100000043287,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-02-28,2029-02-28 00:00:00,ПВЕО,
1393,100000043315,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-02-28,2029-02-28 00:00:00,ПВЕО,
1394,100000043344,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-02-28,2029-02-28 00:00:00,ПВЕО,
1395,100000043371,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-02-28,2029-02-28 00:00:00,ПВЕО,
1396,100000043399,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-02-28,2029-02-28 00:00:00,ПВЕО,
1397,100000043619,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-02-28,2029-02-28 00:00:00,ПВЕО,КМПН
1398,100000043643,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-02-28,2029-02-28 00:00:00,ПВЕО,КМПН
1399,100000043665,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-02-28,2029-02-28 00:00:00,ПВЕО,КМПН
1403,100000043424,1100.0,component,"АО ""Полюс Красноярск""",,,,,2009-11-30,2021-11-30 00:00:00,ПВЕО,КМПН
1404,100000043448,1100.0,component,"АО ""Полюс Красноярск""",,,,,2009-11-30,2021-11-30 00:00:00,ПВЕО,КМПН
1405,100000043472,1100.0,component,"АО ""Полюс Красноярск""",,,,,2009-11-30,2021-11-30 00:00:00,ПВЕО,КМПН
1406,100000043494,1100.0,component,"АО ""Полюс Красноярск""",,,,,2009-11-30,2021-11-30 00:00:00,ПВЕО,КМПН
1407,100000043516,1100.0,component,"АО ""Полюс Красноярск""",,,,,2009-11-30,2021-11-30 00:00:00,ПВЕО,КМПН
1408,100000043543,1100.0,component,"АО ""Полюс Красноярск""",,,,,2009-11-30,2021-11-30 00:00:00,ПВЕО,КМПН
1409,100000043572,1100.0,component,"АО ""Полюс Красноярск""",,,,,2009-11-30,2021-11-30 00:00:00,ПВЕО,КМПН
1412,100000062743,1100.0,head,"АО ""Полюс Красноярск""",E03_02,Экскаваторы электрические,Канатные экскаваторы с объемом ковша 5-35 м3,Экскаваторы ЭКГ-10,1996-09-01,2023-01-01 00:00:00,УСТН,СИНХ
1413,100000043583,1100.0,component,"АО ""Полюс Красноярск""",,,,,1996-09-01,2008-09-01 00:00:00,ПВЕО,КМПН
1414,100000043275,1100.0,component,"АО ""Полюс Красноярск""",,,,,1996-09-01,2021-12-31 00:00:00,ПВЕО,
1415,100000043303,1100.0,component,"АО ""Полюс Красноярск""",,,,,1996-09-01,2021-12-31 00:00:00,ПВЕО,
1416,100000043331,1100.0,component,"АО ""Полюс Красноярск""",,,,,1996-09-01,2021-12-31 00:00:00,ПВЕО,
1417,100000043360,1100.0,component,"АО ""Полюс Красноярск""",,,,,1996-09-01,2021-12-31 00:00:00,ПВЕО,
1418,100000043387,1100.0,component,"АО ""Полюс Красноярск""",,,,,1996-09-01,2021-12-31 00:00:00,ПВЕО,
1419,100000043607,1100.0,component,"АО ""Полюс Красноярск""",,,,,1996-09-01,2008-09-01 00:00:00,ПВЕО,КМПН
1420,100000043631,1100.0,component,"АО ""Полюс Красноярск""",,,,,1996-09-01,2008-09-01 00:00:00,ПВЕО,КМПН
1421,100000043654,1100.0,component,"АО ""Полюс Красноярск""",,,,,1996-09-01,2008-09-01 00:00:00,ПВЕО,КМПН
