be_code,eo_code,temp_eo_code,eo_description,teh_mesto,gar_no,head_type,operation_start_date,expected_operation_finish_date
1200,100000008673,,Самосвал карьерный 785C №1619,03-CTT-CC01,1619,head,2017-12-12,
1200,100000010272,,Компьютер промышл. бортовой Trax-10 LP,03-CTT-CC01,1619,component,2019-03-01,
1200,100000073096,,ДВС 3512B №EEE00297,03-CTT-CC01,1619,component,2021-03-10,
1200,100000009813,,Редуктор бортовой правый,03-CTT-CC01,1619,component,2017-12-12,
1200,100000009814,,Редуктор бортовой левый,03-CTT-CC01,1619,component,2017-12-12,
1200,100000009815,,Дифференциал,03-CTT-CC01,1619,component,2017-12-12,
1200,100000010306,,Кузов,03-CTT-CC01,1619,component,2017-12-12,
1200,100000009812,,Коробка передач,03-CTT-CC01,1619,component,2017-12-12,
1200,100000008674,,Самосвал карьерный 785C №1620,03-CTT-CC02,1620,head,2017-12-12,
1200,100000009440,,Компьютер промышл. бортовой Trax-10 LP,03-CTT-CC02,1620,component,2017-12-17,
1200,100000009819,,Коробка передач,03-CTT-CC02,1620,component,2017-12-12,
1200,100000009816,,Дифференциал,03-CTT-CC02,1620,component,2017-12-12,
1200,100000009817,,Редуктор бортовой левый,03-CTT-CC02,1620,component,2017-12-12,
1200,100000009818,,Редуктор бортовой правый,03-CTT-CC02,1620,component,2017-12-12,
1200,100000010307,,Кузов,03-CTT-CC02,1620,component,2017-12-12,
1200,100000009820,,ДВС 3512B №8BR03178,03-CTT-CC02,1620,component,2017-12-12,
1200,100000008666,,Самосвал карьерный HD785-7 №1609,03-CTT-KD01,1609,head,2012-10-04,
1200,100000009422,,Компьютер промышл. бортовой Trax-10 LP,03-CTT-KD01,1609,component,2017-08-13,
1200,100000009777,,Редуктор бортовой левый,03-CTT-KD01,1609,component,2012-10-04,
1200,100000009778,,Редуктор бортовой правый,03-CTT-KD01,1609,component,2012-10-04,
1200,100000010299,,Кузов,03-CTT-KD01,1609,component,2012-10-04,
1200,100000009780,,ДВС SAA12V140E-3B,03-CTT-KD01,1609,component,2012-10-04,
1200,100000009776,,Дифференциал,03-CTT-KD01,1609,component,2012-10-04,
1200,100000009779,,Коробка передач,03-CTT-KD01,1609,component,2012-10-04,
1200,100000008667,,Самосвал карьерный HD785-7 №1610,03-CTT-KD02,1610,head,2012-10-14,
1200,100000009423,,Компьютер промышл. бортовой Trax-10 LP,03-CTT-KD02,1610,component,2017-08-18,
1200,100000010300,,Кузов,03-CTT-KD02,1610,component,2012-10-14,
1200,100000009782,,Коробка передач,03-CTT-KD02,1610,component,2012-10-14,
1200,100000009784,,Редуктор бортовой левый,03-CTT-KD02,1610,component,2012-10-14,
1200,100000009783,,Редуктор бортовой правый,03-CTT-KD02,1610,component,2012-10-14,
1200,100000009781,,ДВС SAA12V140E-3B №506086,03-CTT-KD02,1610,component,2021-08-22,
1200,100000009785,,Дифференциал,03-CTT-KD02,1610,component,2012-10-14,
1200,100000008668,,Самосвал карьерный HD785-7 №1611,03-CTT-KD03,1611,head,2013-01-30,
1200,100000009424,,Компьютер промышл. бортовой Trax-10 LP,03-CTT-KD03,1611,component,2017-08-20,
